Time,pH,mCa,mTIC,mCO3,rdiss,Omega
331.5,7.3156,8.57379e-06,1.26566,0.00110588,0,2.86339
333,7.31223,8.55777e-06,1.2742,0.00110391,0,2.85295
334.5,7.30889,8.5418e-06,1.28275,0.00110196,0,2.84259
336,7.30557,8.52588e-06,1.29131,0.00110002,0,2.83231
337.5,7.30227,8.51e-06,1.29987,0.0010981,0,2.8221
339,7.29899,8.49418e-06,1.30844,0.0010962,0,2.81197
340.5,7.29573,8.47841e-06,1.31702,0.00109431,0,2.80192
342,7.2925,8.46269e-06,1.3256,0.00109244,0,2.79194
343.5,7.28928,8.44701e-06,1.33418,0.00109058,0,2.78203
345,7.28609,8.43139e-06,1.34278,0.00108874,0,2.77219
346.5,7.28292,8.41581e-06,1.35137,0.00108691,0,2.76243
348,7.27976,8.40029e-06,1.35998,0.0010851,0,2.75274
349.5,7.27663,8.38481e-06,1.36859,0.00108331,0,2.74312
351,7.27352,8.36938e-06,1.3772,0.00108152,0,2.73356
352.5,7.27043,8.354e-06,1.38582,0.00107975,0,2.72408
354,7.26736,8.33867e-06,1.39444,0.001078,0,2.71466
355.5,7.26431,8.32339e-06,1.40307,0.00107626,0,2.70531
357,7.26128,8.30816e-06,1.4117,0.00107453,0,2.69602
358.5,7.25826,8.29297e-06,1.42034,0.00107282,0,2.6868
360,7.25527,8.27783e-06,1.42898,0.00107112,0,2.67765
361.5,7.25229,8.26274e-06,1.43763,0.00106943,0,2.66856
363,7.24934,8.2477e-06,1.44628,0.00106776,0,2.65953
364.5,7.2464,8.2327e-06,1.45493,0.00106609,0,2.65056
366,7.24348,8.21775e-06,1.46358,0.00106444,0,2.64165
367.5,7.24058,8.20285e-06,1.47224,0.00106281,0,2.63281
369,7.23769,8.188e-06,1.48091,0.00106118,0,2.62402
370.5,7.23483,8.17319e-06,1.48957,0.00105957,0,2.6153
372,7.23198,8.15843e-06,1.49824,0.00105797,0,2.60663
373.5,7.22915,8.14372e-06,1.50691,0.00105638,0,2.59802
375,7.22634,8.12905e-06,1.51558,0.0010548,0,2.58946
376.5,7.22354,8.11443e-06,1.52426,0.00105323,0,2.58097
378,7.22076,8.09985e-06,1.53294,0.00105168,0,2.57252
379.5,7.218,8.08533e-06,1.54162,0.00105013,0,2.56414
381,7.21525,8.07084e-06,1.5503,0.0010486,0,2.55581
382.5,7.21252,8.05641e-06,1.55899,0.00104707,0,2.54753
384,7.20981,8.04202e-06,1.56768,0.00104556,0,2.5393
385.5,7.20711,8.02767e-06,1.57636,0.00104406,0,2.53113
387,7.20443,8.01337e-06,1.58505,0.00104257,0,2.52301
388.5,7.20176,7.99912e-06,1.59375,0.00104108,0,2.51494
390,7.19911,7.98491e-06,1.60244,0.00103961,0,2.50693
391.5,7.19648,7.97074e-06,1.61113,0.00103815,0,2.49896
393,7.19386,7.95662e-06,1.61983,0.0010367,0,2.49104
394.5,7.19126,7.94255e-06,1.62852,0.00103525,0,2.48317
396,7.18867,7.92852e-06,1.63722,0.00103382,0,2.47535
