Time,pH,mCa,mTIC,mCO3,rdiss,Omega
171,9.57892,5.95642e-05,7.85878e-05,1.18574e-05,5.11545e-07,0.213292
172.5,9.58179,5.99339e-05,7.9035e-05,1.19919e-05,5.091e-07,0.21705
174,9.58461,6.03006e-05,7.94797e-05,1.2126e-05,5.06647e-07,0.220821
175.5,9.58739,6.06644e-05,7.99218e-05,1.22597e-05,5.04187e-07,0.224603
177,9.59012,6.10253e-05,8.03613e-05,1.2393e-05,5.0172e-07,0.228395
178.5,9.59281,6.13833e-05,8.07983e-05,1.25258e-05,4.99247e-07,0.232197
180,9.59546,6.17383e-05,8.12327e-05,1.26582e-05,4.96768e-07,0.236008
181.5,9.59806,6.20904e-05,8.16646e-05,1.27901e-05,4.94283e-07,0.239827
183,9.60063,6.24395e-05,8.20938e-05,1.29215e-05,4.91794e-07,0.243653
184.5,9.60315,6.27857e-05,8.25205e-05,1.30524e-05,4.89301e-07,0.247487
186,9.60563,6.31289e-05,8.29445e-05,1.31828e-05,4.86803e-07,0.251326
187.5,9.60808,6.34693e-05,8.3366e-05,1.33127e-05,4.84302e-07,0.255171
189,9.61049,6.38066e-05,8.37849e-05,1.34421e-05,4.81798e-07,0.25902
190.5,9.61286,6.41411e-05,8.42012e-05,1.3571e-05,4.79292e-07,0.262874
192,9.61519,6.44726e-05,8.46149e-05,1.36993e-05,4.76783e-07,0.266731
193.5,9.61749,6.48012e-05,8.5026e-05,1.3827e-05,4.74273e-07,0.27059
195,9.61975,6.51269e-05,8.54345e-05,1.39542e-05,4.71762e-07,0.274451
196.5,9.62198,6.54497e-05,8.58405e-05,1.40808e-05,4.69249e-07,0.278314
198,9.62417,6.57695e-05,8.62438e-05,1.42068e-05,4.66737e-07,0.282177
199.5,9.62633,6.60865e-05,8.66445e-05,1.43322e-05,4.64224e-07,0.28604
201,9.62846,6.64005e-05,8.70427e-05,1.44571e-05,4.61712e-07,0.289902
202.5,9.63055,6.67116e-05,8.74383e-05,1.45813e-05,4.59201e-07,0.293764
204,9.63262,6.70199e-05,8.78312e-05,1.47049e-05,4.56691e-07,0.297623
205.5,9.63465,6.73252e-05,8.82217e-05,1.48279e-05,4.54183e-07,0.301479
207,9.63665,6.76277e-05,8.86095e-05,1.49502e-05,4.51676e-07,0.305333
208.5,9.63862,6.79273e-05,8.89947e-05,1.5072e-05,4.49173e-07,0.309182
210,9.64056,6.82241e-05,8.93774e-05,1.5193e-05,4.46672e-07,0.313028
211.5,9.64247,6.8518e-05,8.97576e-05,1.53135e-05,4.44174e-07,0.316868
213,9.64435,6.88091e-05,9.01351e-05,1.54332e-05,4.4168e-07,0.320703
214.5,9.6462,6.90973e-05,9.05101e-05,1.55523e-05,4.3919e-07,0.324532
216,9.64802,6.93827e-05,9.08826e-05,1.56708e-05,4.36705e-07,0.328354
217.5,9.64982,6.96652e-05,9.12525e-05,1.57885e-05,4.34224e-07,0.332169
219,9.65159,6.9945e-05,9.16199e-05,1.59056e-05,4.31747e-07,0.335976
220.5,9.65333,7.0222e-05,9.19848e-05,1.60221e-05,4.29277e-07,0.339775
222,9.65505,7.04962e-05,9.23472e-05,1.61378e-05,4.26812e-07,0.343565
223.5,9.65674,7.07676e-05,9.2707e-05,1.62528e-05,4.24353e-07,0.347346
225,9.65841,7.10362e-05,9.30643e-05,1.63671e-05,4.219e-07,0.351118
226.5,9.66005,7.13021e-05,9.34192e-05,1.64808e-05,4.19454e-07,0.354879
228,9.66166,7.15652e-05,9.37715e-05,1.65937e-05,4.17015e-07,0.358629
229.5,9.66326,7.18256e-05,9.41214e-05,1.6706e-05,4.14584e-07,0.362369
231,9.66482,7.20833e-05,9.44688e-05,1.68175e-05,4.12159e-07,0.366097
232.5,9.66637,7.23383e-05,9.48138e-05,1.69283e-05,4.09743e-07,0.369812
234,9.66789,7.25905e-05,9.51563e-05,1.70384e-05,4.07335e-07,0.373516
235.5,9.66939,7.28401e-05,9.54963e-05,1.71478e-05,4.04935e-07,0.377206
237,9.67086,7.30871e-05,9.58339e-05,1.72564e-05,4.02543e-07,0.380883
238.5,9.67232,7.33313e-05,9.61691e-05,1.73644e-05,4.00161e-07,0.384547
240,9.67375,7.3573e-05,9.65019e-05,1.74716e-05,3.97788e-07,0.388196
241.5,9.67516,7.3812e-05,9.68323e-05,1.75781e-05,3.95424e-07,0.391831
243,9.67655,7.40483e-05,9.71603e-05,1.76839e-05,3.9307e-07,0.395452
244.5,9.67791,7.42821e-05,9.7486e-05,1.77889e-05,3.90725e-07,0.399057
246,9.67926,7.45133e-05,9.78092e-05,1.78933e-05,3.88391e-07,0.402646
247.5,9.68059,7.47419e-05,9.81302e-05,1.79969e-05,3.86067e-07,0.40622
249,9.68189,7.4968e-05,9.84487e-05,1.80997e-05,3.83754e-07,0.409778
250.5,9.68318,7.51915e-05,9.8765e-05,1.82019e-05,3.81451e-07,0.413319
252,9.68445,7.54125e-05,9.90789e-05,1.83033e-05,3.79159e-07,0.416843
253.5,9.6857,7.5631e-05,9.93905e-05,1.84039e-05,3.76879e-07,0.42035
255,9.68693,7.5847e-05,9.96999e-05,1.85039e-05,3.7461e-07,0.42384
256.5,9.68814,7.60605e-05,0.000100007,1.86031e-05,3.72352e-07,0.427312
258,9.68933,7.62716e-05,0.000100312,1.87016e-05,3.70106e-07,0.430766
259.5,9.69051,7.64802e-05,0.000100614,1.87994e-05,3.67871e-07,0.434202
261,9.69167,7.66863e-05,0.000100915,1.88964e-05,3.65649e-07,0.43762
262.5,9.69281,7.68901e-05,0.000101213,1.89927e-05,3.63439e-07,0.441019
264,9.69393,7.70914e-05,0.000101508,1.90883e-05,3.61241e-07,0.444399
265.5,9.69504,7.72904e-05,0.000101802,1.91831e-05,3.59055e-07,0.44776
267,9.69613,7.7487e-05,0.000102094,1.92773e-05,3.56882e-07,0.451102
268.5,9.6972,7.76812e-05,0.000102383,1.93707e-05,3.54722e-07,0.454424
270,9.69826,7.78731e-05,0.00010267,1.94634e-05,3.52575e-07,0.457726
271.5,9.6993,7.80627e-05,0.000102955,1.95553e-05,3.5044e-07,0.461009
273,9.70032,7.825e-05,0.000103238,1.96466e-05,3.48319e-07,0.464271
274.5,9.70133,7.8435e-05,0.000103519,1.97371e-05,3.46211e-07,0.467513
276,9.70232,7.86177e-05,0.000103797,1.98269e-05,3.44116e-07,0.470735
277.5,9.7033,7.87982e-05,0.000104074,1.99161e-05,3.42034e-07,0.473936
